SERVER_NA,OWNER                         ,TABLE_NAME                    ,LAST_ANA,   SIZE_MB,  NUM_ROWS,OBJECT_TYPE
AMIDALA  ,CAMPAIGNAPP                   ,OFFERDATA                     ,12/09/17,         3,      1532,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,QMQUIZENTRY                   ,12/09/17,         2,      8459,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,RUNDOWNREGISTRATION           ,12/09/17,         3,      4670,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SEGMENTFILTER                 ,12/09/17,        10,       356,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TEXT4TUNES_PRIZES             ,12/09/17,        ,1,       326,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,INLAFLASHREWARDPIN            ,12/09/17,        ,4,      5298,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NASCARSUBSCRIBERCHOICE        ,12/09/17,         2,     25780,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BRIDALTIP                     ,12/09/17,        ,1,        12,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONLEDGER            ,12/09/17,        ,1,       594,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SUBSCRIPTIONACCOUNT           ,12/09/17,        37,    181450,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MLBTEAMNAME                   ,12/09/17,        ,1,        31,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOSOCFEATURE              ,12/09/17,        40,    184630,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMODISCOUNTFEATURE         ,12/09/17,       152,    996410,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,IQALERTSTATUS                 ,12/09/17,        14,    163880,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,VMCFASHIONFORWARD             ,12/09/17,        ,1,        31,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMSOLOSUBS                    ,12/09/17,         2,     22629,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMSOLOSUBSWORK                ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,NESQUIKPLAYER                 ,12/09/17,         4,     57020,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,CATCHAG6                      ,12/09/17,         2,     13302,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MLBMESSAGES                   ,12/09/17,         2,      9089,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,POLLQN                        ,12/09/17,        ,1,        79,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,INSTANTWINNER                 ,12/09/17,        ,1,       590,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,PROMOINABOXTRIVIA             ,12/09/17,        ,1,         0,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,INSTANTPOLLCONFIG             ,12/09/17,        ,1,        95,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,INSTANTPOLLPARTICIPANT        ,12/09/17,        49,    597970,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,FEEDDISTRIBUTIONUSERLIST      ,12/09/17,      3351,  30489760,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,MILLERPIN                     ,12/09/17,        96,   5970960,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BMWSAPILOG                    ,12/09/17,      2897,  13595140,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,FORDREDEMPTION                ,12/09/17,        ,2,      3863,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOVIDEOHANDSET            ,12/09/17,        ,1,        22,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,REMYINTERACTIONLOG            ,12/09/17,        ,6,      9356,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,TCAREIVR                      ,12/09/17,       152,    945840,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOWHATSNEWSEGMENT         ,12/09/17,        ,1,       393,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,SOURPATCH                     ,12/09/17,        ,6,      6542,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOTFCERRORCODE            ,12/09/17,        ,1,        81,TABLE
AMIDALA  ,CAMPAIGNAPP                   ,BELLMOTCAREFEATURESSEGMENT    ,12/09/17,        ,2,       972,TABLE
