
ORCL          ,PUBLIC         ,USER_XML_TAB_COLS             ,SYS            ,USER_XML_TAB_COLS             ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_TAB_COLS              ,SYS            ,ALL_XML_TAB_COLS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_TAB_COLS              ,SYS            ,CDB_XML_TAB_COLS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_TAB_COLS              ,SYS            ,DBA_XML_TAB_COLS              ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_TABLES               ,SYS            ,USER_XML_TABLES               ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_XML_TABLES                ,SYS            ,ALL_XML_TABLES                ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_XML_TABLES                ,SYS            ,CDB_XML_TABLES                ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_XML_TABLES                ,SYS            ,DBA_XML_TABLES                ,               ,SYNONYM
ORCL          ,PUBLIC         ,CDB_EPG_DAD_AUTHORIZATION     ,SYS            ,CDB_EPG_DAD_AUTHORIZATION     ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBA_EPG_DAD_AUTHORIZATION     ,SYS            ,DBA_EPG_DAD_AUTHORIZATION     ,               ,SYNONYM

ORCL          ,PUBLIC         ,USER_EPG_DAD_AUTHORIZATION    ,SYS            ,USER_EPG_DAD_AUTHORIZATION    ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_EPG                      ,SYS            ,DBMS_EPG                      ,               ,SYNONYM
ORCL          ,PUBLIC         ,XIMETADATA_PKG                ,XDB            ,XIMETADATA_PKG                ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XMLINDEX                 ,XDB            ,DBMS_XMLINDEX                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,DOCUMENT_LINKS                ,XDB            ,DOCUMENT_LINKS                ,               ,SYNONYM
ORCL          ,PUBLIC         ,XDB_PVTRIG_PKG                ,XDB            ,XDB_PVTRIG_PKG                ,               ,SYNONYM
ORCL          ,PUBLIC         ,PATH_VIEW                     ,XDB            ,PATH_VIEW                     ,               ,SYNONYM
ORCL          ,PUBLIC         ,ALL_PATH                      ,XDB            ,ALL_PATH                      ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XDB_VERSION              ,XDB            ,DBMS_XDB_VERSION              ,               ,SYNONYM
ORCL          ,PUBLIC         ,XDS_ACE                       ,SYS            ,XDS_ACE                       ,               ,SYNONYM
ORCL          ,PUBLIC         ,XDS_ACL                       ,SYS            ,XDS_ACL                       ,               ,SYNONYM
ORCL          ,PUBLIC         ,CONTENTSCHEMAIS               ,XDB            ,CONTENTSCHEMAIS               ,               ,SYNONYM
ORCL          ,PUBLIC         ,XDB_RVTRIG_PKG                ,XDB            ,XDB_RVTRIG_PKG                ,               ,SYNONYM

ORCL          ,PUBLIC         ,RESOURCE_VIEW                 ,XDB            ,RESOURCE_VIEW                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,ABSPATH                       ,XDB            ,ABSPATH                       ,               ,SYNONYM
ORCL          ,PUBLIC         ,DEPTH                         ,XDB            ,DEPTH                         ,               ,SYNONYM
ORCL          ,PUBLIC         ,PATH                          ,XDB            ,PATH                          ,               ,SYNONYM
ORCL          ,PUBLIC         ,EQUALS_PATH                   ,XDB            ,EQUALS_PATH                   ,               ,SYNONYM
ORCL          ,PUBLIC         ,UNDER_PATH                    ,XDB            ,UNDER_PATH                    ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XDB_PRINT                ,XDB            ,DBMS_XDB_PRINT                ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XDBUTIL_INT              ,XDB            ,DBMS_XDBUTIL_INT              ,               ,SYNONYM
ORCL          ,PUBLIC         ,USER_XML_PARTITIONED_TABLE_OK ,SYS            ,USER_XML_PARTITIONED_TABLE_OK ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_CLOBUTIL                 ,XDB            ,DBMS_CLOBUTIL                 ,               ,SYNONYM
ORCL          ,PUBLIC         ,XSLPROCESSOR                  ,XDB            ,DBMS_XSLPROCESSOR             ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XSLPROCESSOR             ,XDB            ,DBMS_XSLPROCESSOR             ,               ,SYNONYM
ORCL          ,PUBLIC         ,XMLPARSER                     ,XDB            ,DBMS_XMLPARSER                ,               ,SYNONYM

ORCL          ,PUBLIC         ,DBMS_XMLPARSER                ,XDB            ,DBMS_XMLPARSER                ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_CSX_INT                  ,XDB            ,DBMS_CSX_INT                  ,               ,SYNONYM
ORCL          ,PUBLIC         ,DBMS_XMLSCHEMA_LSB            ,XDB            ,DBMS_XMLSCHEMA_LSB            ,               ,SYNONYM
